customer_id,customername,gender,dob,city,customersince
1,Baiju Dhingra,Male,1952-12-02,Chandigarh,2023-01-20
2,Amira Bhatia,Female,1978-06-14,Hyderabad,2016-06-16
3,Farhan Rout,Male,1970-04-04,Chennai,2025-01-06
4,Nitara Amble,Male,1952-04-30,Mumbai,2023-07-10
5,Anahi Deep,Male,1973-03-07,Chandigarh,2018-10-20
6,Mishti Zacharia,Female,1953-04-14,Lucknow,2020-03-08
7,Madhup Deshpande,Male,1965-10-11,Hyderabad,2020-11-12
8,Zoya Sankar,Male,1954-08-19,Bengaluru,2022-10-01
9,Riya Rout,Male,1986-04-13,Chennai,2017-09-02
10,Kabir Handa,Male,2006-04-25,Jaipur,2018-04-12
11,Divyansh Halder,Female,2002-08-28,Bhopal,2024-12-22
12,Kaira Sem,Female,1984-07-19,Chennai,2024-04-13
13,Ivan Khalsa,Female,1950-03-30,Lucknow,2022-10-08
14,Hiran Kala,Male,1993-11-26,Visakhapatnam,2019-12-07
15,Seher Madan,Male,1956-08-09,Visakhapatnam,2022-11-13
16,Shamik Chakrabarti,Female,1973-05-09,Bhopal,2024-01-23
17,Lakshay Gola,Female,1957-01-15,Pune,2020-08-07
18,Hridaan Borra,Male,1968-05-20,Mumbai,2016-11-19
19,Saira Bora,Female,1994-04-21,Visakhapatnam,2018-04-19
20,Ivan Bakshi,Male,2005-07-21,Bengaluru,2018-01-02
21,Vihaan Bail,Male,2001-01-26,Kolkata,2020-10-06
22,Adah Sharaf,Female,1957-12-29,Pune,2023-11-03
23,Anahita Vala,Female,2001-12-28,Lucknow,2020-09-06
24,Misha Shan,Male,1959-06-27,Visakhapatnam,2016-03-27
25,Krish Sodhi,Female,1952-02-20,Bhopal,2016-07-26
26,Ivan Gupta,Male,1959-11-04,Jaipur,2023-03-27
27,Sahil Sunder,Female,1964-01-08,Indore,2016-12-28
28,Indrajit Kala,Female,2007-03-02,Bengaluru,2021-08-01
29,Zain Kala,Female,2005-10-31,Coimbatore,2021-08-16
30,Vaibhav Kaul,Male,2007-04-06,Lucknow,2024-08-21
31,Raghav Chanda,Male,1976-12-26,Bhopal,2022-09-05
32,Priyansh Arya,Male,1968-09-25,Hyderabad,2018-03-11
33,Charvi Vasa,Female,1972-10-10,Visakhapatnam,2018-12-28
34,Aaryahi Sekhon,Male,1998-05-04,Bengaluru,2019-07-19
35,Mannat Kuruvilla,Male,2008-01-18,Coimbatore,2023-04-19
36,Shanaya Luthra,Female,1972-06-23,Kolkata,2021-01-24
37,Divij Yohannan,Female,1965-10-17,Ahmedabad,2021-02-17
38,Kismat Gill,Female,1994-06-15,Mumbai,2018-04-19
39,Tushar Balan,Male,1971-10-20,Pune,2021-05-06
40,Arnav Sachdev,Female,1974-01-14,Chandigarh,2017-11-13
41,Samaira Ganesh,Male,1971-06-27,Bhopal,2024-01-10
42,Akarsh Kumer,Male,2005-09-16,Lucknow,2022-02-09
43,Pranay Brahmbhatt,Male,1997-04-02,Jaipur,2016-06-06
44,Neysa Doctor,Female,1972-04-24,Mumbai,2016-03-16
45,Jayan Divan,Female,1951-04-26,Kolkata,2020-02-03
46,Aarna Sani,Male,1973-11-08,Indore,2017-07-26
47,Jayant Comar,Female,1975-12-01,Chandigarh,2017-02-02
48,Nayantara Kaul,Male,1955-06-05,Coimbatore,2024-07-23
49,Emir Som,Male,1955-05-15,Chennai,2024-11-08
50,Yakshit Boase,Female,1985-05-10,Visakhapatnam,2023-02-10
51,Mannat Ram,Female,1967-10-29,Kolkata,2020-09-22
52,Yashvi Bajwa,Male,1969-11-26,Bengaluru,2024-12-04
53,Anika Balan,Female,1991-06-02,Indore,2020-05-04
54,Hunar Thakur,Female,1999-08-13,Chennai,2018-04-12
55,Sana Bobal,Female,1994-01-09,Kolkata,2016-09-20
56,Suhana Shere,Female,1954-12-27,Mumbai,2018-10-28
57,Riya Comar,Male,1987-11-05,Mumbai,2021-05-01
58,Sara Acharya,Female,1996-04-22,Bhopal,2018-02-09
59,Veer Chawla,Female,1998-10-24,Bhopal,2024-02-29
60,Adah Zacharia,Female,1958-05-06,Indore,2019-09-07
61,Amira Mann,Male,1970-09-24,Pune,2019-10-02
62,Navya Bhargava,Female,1959-01-18,Mumbai,2018-08-19
63,Shlok Bhatt,Male,1955-11-09,Bengaluru,2017-03-26
64,Neelofar Babu,Male,1964-10-25,Coimbatore,2024-07-18
65,Aarav Seshadri,Male,1971-08-15,Mumbai,2019-03-31
66,Navya Barman,Female,1951-06-10,Visakhapatnam,2019-04-13
67,Samar Dyal,Male,1978-08-27,Lucknow,2024-12-28
68,Miraya Bajwa,Female,1987-12-05,Kolkata,2016-10-28
69,Dhruv Shenoy,Female,1954-07-29,Lucknow,2023-04-16
70,Zaina Agate,Female,1996-03-27,Jaipur,2018-02-03
71,Tarini Saini,Male,1952-11-20,Jaipur,2023-04-08
72,Samaira Uppal,Male,1957-04-15,Chandigarh,2022-09-03
73,Indrans Raj,Female,1982-08-05,Chandigarh,2024-08-17
74,Fateh Goel,Female,1959-02-03,Visakhapatnam,2017-06-23
75,Shamik Kulkarni,Female,1989-05-06,Bengaluru,2024-02-05
76,Devansh Ramakrishnan,Male,2001-08-11,Kolkata,2020-08-22
77,Samiha Shan,Male,1973-02-09,Ahmedabad,2019-07-28
78,Anay Bajaj,Female,1975-11-02,Bhopal,2019-08-19
79,Rasha Contractor,Male,1988-06-09,Jaipur,2024-03-25
80,Krish Sandhu,Male,1990-03-14,Jaipur,2017-08-06
81,Nirvaan Dara,Female,1984-11-13,Coimbatore,2017-01-15
82,Rohan Hayer,Male,1961-04-03,Coimbatore,2020-02-28
83,Biju Kaul,Female,1981-05-06,Mumbai,2016-08-20
84,Sahil Jha,Male,1982-09-09,Visakhapatnam,2020-11-27
85,Ritvik Bhatnagar,Male,1979-10-09,Jaipur,2022-07-23
86,Mehul Dubey,Female,1966-12-09,Lucknow,2024-05-20
87,Kimaya Bera,Male,1969-07-19,Ahmedabad,2016-05-30
88,Kimaya Tandon,Female,1981-12-20,Bengaluru,2016-12-01
89,Sara Sabharwal,Female,1980-04-20,Indore,2023-07-08
90,Bhamini Dani,Male,2004-04-13,Chennai,2022-04-10
91,Rati Dixit,Male,1967-07-02,Chennai,2025-01-07
92,Jiya Luthra,Female,1961-08-03,Bengaluru,2017-11-15
93,Chirag Bera,Male,1989-01-29,Coimbatore,2016-07-31
94,Neelofar Tailor,Male,1950-11-07,Visakhapatnam,2021-10-27
95,Dhruv Bansal,Female,1972-01-11,Mumbai,2024-09-16
96,Vritika Sethi,Male,1952-08-09,Jaipur,2023-01-26
97,Vihaan Bumb,Female,1952-07-30,Delhi,2024-06-14
98,Emir Mammen,Male,1982-03-10,Chennai,2022-05-23
99,Adira Ratta,Female,1994-10-01,Bhopal,2018-07-22
100,Nishith Rastogi,Female,1968-06-07,Kolkata,2022-03-16
101,Priyansh Jayaraman,Female,1960-05-26,Ahmedabad,2019-08-10
102,Suhana Bansal,Male,1982-01-03,Bengaluru,2024-08-22
103,Dishani Lad,Male,1975-01-22,Chennai,2016-04-24
104,Samiha Sharma,Male,1999-05-26,Pune,2024-05-12
105,Adira Suresh,Male,1976-08-17,Lucknow,2020-04-10
106,Manikya Seshadri,Male,1979-06-29,Lucknow,2022-04-20
107,Nayantara Gulati,Male,1980-11-17,Hyderabad,2021-12-29
108,Drishya Gola,Male,1963-09-20,Bhopal,2020-08-14
109,Miraan Tripathi,Male,1970-03-18,Chennai,2016-10-28
110,Saira Keer,Male,1973-06-03,Indore,2022-08-25
111,Kaira Das,Female,1971-01-31,Coimbatore,2016-05-05
112,Rohan Borra,Male,1969-03-11,Bengaluru,2017-02-07
113,Bhamini Gupta,Female,1981-09-17,Delhi,2021-04-12
114,Neelofar Kurian,Male,1989-02-26,Chennai,2018-12-02
115,Anvi Sangha,Female,1983-06-07,Bhopal,2021-07-06
116,Rohan Khare,Female,1968-02-24,Chennai,2018-09-20
117,Taimur Raj,Female,1964-02-20,Visakhapatnam,2023-02-07
118,Anya Goswami,Male,1974-07-22,Chennai,2020-08-26
119,Hazel Barad,Female,1963-01-27,Bengaluru,2022-03-20
120,Jivin Dey,Female,1962-10-11,Pune,2019-06-07
121,Miraya Sharma,Female,1959-02-23,Kolkata,2020-03-13
122,Farhan Chandra,Male,2000-04-01,Coimbatore,2020-09-30
123,Mehul Devi,Male,1986-06-08,Chandigarh,2021-08-08
124,Kismat Bawa,Female,1985-12-31,Hyderabad,2021-07-15
125,Jhanvi Koshy,Female,1970-11-19,Bhopal,2020-02-12
126,Ivana Keer,Male,1963-07-17,Visakhapatnam,2019-01-29
127,Rhea Master,Male,1967-06-26,Chennai,2021-05-19
128,Heer Babu,Female,2008-02-07,Chennai,2022-04-20
129,Gokul Vala,Female,1968-10-31,Mumbai,2023-08-30
130,Madhav Joshi,Female,1963-05-08,Mumbai,2021-07-21
131,Stuvan Lall,Male,1971-11-15,Ahmedabad,2019-02-26
132,Shayak Setty,Male,1986-09-08,Coimbatore,2022-12-27
133,Nirvi Chopra,Male,2006-01-03,Ahmedabad,2016-03-16
134,Vihaan Ram,Male,1972-05-01,Hyderabad,2021-08-04
135,Diya Bajaj,Male,1980-05-16,Bengaluru,2020-02-15
136,Aarav Mallick,Female,2002-04-13,Mumbai,2017-01-10
137,Indranil Sandal,Female,2000-05-31,Ahmedabad,2023-03-18
138,Tushar Issac,Female,2000-12-20,Chennai,2022-11-30
139,Darshit Datta,Male,2001-12-12,Indore,2024-12-03
140,Miraya Bansal,Female,1987-07-04,Mumbai,2022-08-30
141,Zain Bail,Female,1978-09-21,Hyderabad,2022-12-30
142,Biju Bajaj,Female,1976-12-09,Delhi,2024-12-12
143,Vedika Borra,Female,1975-08-09,Delhi,2023-01-19
144,Nirvaan Tandon,Female,1987-10-21,Bhopal,2018-10-21
145,Aradhya Koshy,Male,1957-08-15,Mumbai,2016-04-24
146,Armaan Trivedi,Male,1979-03-26,Delhi,2022-08-20
147,Yuvraj  Sundaram,Male,1982-03-11,Hyderabad,2020-04-19
